,Distinction,Name,Location,Price,Cuisine
782,1 Star,Acquarello,"Munich, Germany",€€€€,Italian
783,1 Star,Clostermanns Le Gourmet,"Niederkassel, Germany",€€€€,Creative
784,1 Star,Jacobi,"Freiburg im Breisgau, Germany",€€€€,Innovative
785,1 Star,Atlantic Restaurant,"Hamburg, Germany",€€€€,French Contemporary
786,1 Star,Petit Amour,"Hamburg, Germany",€€€€,Contemporary
787,1 Star,Bricole,"Berlin, Germany",€€€,Modern French
788,1 Star,Werners Restaurant,"Gernsbach, Germany",€€€€,Classic French
789,1 Star,maximilian lorenz,"Cologne, Germany",€€€€,Modern Cuisine
790,1 Star,Die Brasserie,"Pirmasens, Germany",€€€,Classic Cuisine
791,1 Star,St. Laurentiushof - Schockes Küche,"Birkweiler, Germany",€€€€,Modern Cuisine
792,1 Star,Clara - Restaurant im Kaisersaal,"Erfurt, Germany",€€€€,Modern Cuisine
793,1 Star,Tantris DNA,"Munich, Germany",€€€€,Classic French
794,1 Star,The Stage,"Dortmund, Germany",€€€€,Modern Cuisine
795,1 Star,Schlossberg,"Baiersbronn, Germany",€€€€,Creative
796,1 Star,Steins Traube,"Mainz, Germany",€€€,Farm to table
797,1 Star,Schattbuch,"Amtzell, Germany",€€€,Creative
798,1 Star,Gasthaus Jakob,"Perasdorf, Germany",€€€,Classic Cuisine
799,1 Star,Irma la Douce,"Berlin, Germany",€€€,Classic French
800,1 Star,Restaurant 1950,"Hayingen, Germany",€€€€,Regional Cuisine
801,1 Star,Zur Tant,"Cologne, Germany",€€€,Classic Cuisine
802,1 Star,Restaurant Villa Merton,"Frankfurt on the Main, Germany",€€€€,Classic Cuisine
803,1 Star,Restaurant Kunz,"Sankt Wendel, Germany",€€€,Classic French
804,1 Star,Veles,"Nuremberg, Germany",€€€,Modern Cuisine
805,1 Star,Borst,"Maßweiler, Germany",€€€,Classic French
806,1 Star,La Cuisine Rademacher,"Cologne, Germany",€€€€,Modern French
807,1 Star,Eichhalde,"Freiburg im Breisgau, Germany",€€€€,Italian
808,1 Star,Wein- und Tafelhaus,"Trittenheim, Germany",€€€€,Farm to table
809,1 Star,Lamm Rosswag,"Vaihingen an der Enz, Germany",€€€€,Modern Cuisine
810,1 Star,Bembergs Häuschen,"Euskirchen, Germany",€€€€,Modern Cuisine
811,1 Star,Jungborn,"Bad Sobernheim, Germany",€€€€,Modern Cuisine
812,1 Star,Oswald's Gourmetstube,"Teisnach, Germany",€€€€,Modern French
813,1 Star,Tipken's by Nils Henkel,"Keitum, Germany",€€€€,Contemporary
814,1 Star,Der Zauberlehrling,"Stuttgart, Germany",€€€,Creative
815,1 Star,Reuter,"Rheda-Wiedenbrück, Germany",€€€€,Modern French
816,1 Star,Mittermeier,"Rothenburg ob der Tauber, Germany",€€€€,Modern Cuisine
817,1 Star,freustil,"Ostseebad Binz, Germany",€€€,Creative
818,1 Star,Gourmet-Restaurant Der Butt,"Rostock, Germany",€€€€,Modern Cuisine
819,1 Star,Atelier Sanssouci,"Radebeul, Germany",€€€€,Classic Cuisine
820,1 Star,Hämmerle's Restaurant,"Blieskastel, Germany",€€€€,Modern French
821,1 Star,Kaupers Restaurant im Kapellenhof,"Selzen, Germany",€€€€,Modern Cuisine
822,1 Star,Les Deux,"Munich, Germany",€€€€,Modern French
823,1 Star,Hofstube Deimann,"Schmallenberg, Germany",€€€€,Modern Cuisine
824,1 Star,Koch und Kellner,"Nuremberg, Germany",€€€€,Modern Cuisine
825,1 Star,Buchner Welchenberg 1658,"Niederwinkling, Germany",€€€,Modern Cuisine
826,1 Star,Rüssel's Landhaus,"Naurath/Wald, Germany",€€€€,Creative
827,1 Star,Falconera,"Öhningen, Germany",€€€,Classic French
828,1 Star,Waidwerk,"Nuremberg, Germany",€€€€,Modern Cuisine
829,1 Star,Sparkling Bistro,"Munich, Germany",€€€€,Modern Cuisine
830,1 Star,HILMAR,"Aerzen, Germany",€€€€,Classic French
831,1 Star,[KOOK] 36,"Deggendorf, Germany",€€€€,Creative
832,1 Star,Schwingshackl ESSKULTUR,"Bernried, Germany",€€€€,Classic Cuisine
833,1 Star,ONICE,"Nice, France",€€€€,Modern Cuisine
834,1 Star,SEPT,"Toulouse, France",€€€€,Modern Cuisine
835,1 Star,Contraste,"Paris, France",€€€€,Modern Cuisine
836,1 Star,La Vieille Auberge,"Villeneuve-le-Comte, France",€€€,Modern Cuisine
837,1 Star,Alpage,"Courchevel, France",€€€€,Modern Cuisine
838,1 Star,Le Tout-Paris,"Paris, France",€€€€,Modern Cuisine
839,1 Star,Granite,"Paris, France",€€€€,Modern Cuisine
840,1 Star,Les Foudres,"Cognac, France",€€€,Modern Cuisine
841,1 Star,Louise,"Lorient, France",€€€,Modern Cuisine
842,1 Star,Pureté,"Lille, France",€€€,Modern Cuisine
843,1 Star,Flaveurs,"Valence, France",€€€,Modern Cuisine
844,1 Star,La Table Mirasol,"Mont-de-Marsan, France",€€€,Modern Cuisine
845,1 Star,Galanga,"Paris, France",€€€€,Modern Cuisine
846,1 Star,Le Grand Contrôle,"Versailles, France",€€€€,Classic Cuisine
847,1 Star,Hélène Darroze à Villa La Coste,"Le Puy-Sainte-Réparade, France",€€€€,Modern Cuisine
848,1 Star,Jardin des Sens,"Montpellier, France",€€€€,Modern Cuisine
849,1 Star,La Chabotterie,"Montréverd, France",€€€,Modern Cuisine
850,1 Star,Anne,"Paris, France",€€€€,Modern Cuisine
851,1 Star,Restaurant de Tourrel,"Saint-Rémy-de-Provence, France",€€€€,Modern Cuisine
852,1 Star,Numéro 3,"Le Tremblay-sur-Mauldre, France",€€€,Modern Cuisine
853,1 Star,Maison Decoret,"Vichy, France",€€€€,Modern Cuisine
854,1 Star,La Madeleine,"Sens, France",€€€€,Modern Cuisine
855,1 Star,Le Saint-Martin,"Vence, France",€€€€,Modern Cuisine
856,1 Star,Les Agitateurs,"Nice, France",€€€€,Creative
857,1 Star,L'Alter-Native,"Béziers, France",€€€€,Modern Cuisine
858,1 Star,Le Pressoir,"Saint-Avé, France",€€€,Creative
859,1 Star,Baieta,"Paris, France",€€€€,Mediterranean Cuisine
860,1 Star,Substance,"Paris, France",€€€€,Creative
861,1 Star,Le Corot,"Ville-d'Avray, France",€€€€,Creative
862,1 Star,Le Raisin,"Pont-de-Vaux, France",€€€,Modern Cuisine
863,1 Star,La Terrasse - Cheval Blanc St-Tropez,"Saint-Tropez, France",€€€€,Mediterranean Cuisine
864,1 Star,Onor,"Paris, France",€€€€,Modern Cuisine
865,1 Star,La Table des Pères - Domaine du Château des Pères,"Piré-Chancé, France",€€€,Creative
866,1 Star,Jean Imbert au Plaza Athénée,"Paris, France",€€€€,Classic Cuisine
867,1 Star,Le Georges,"Chartres, France",€€€€,Modern Cuisine
868,1 Star,Château d'Origny,"Ouches, France",€€€€,Modern Cuisine
869,1 Star,Maison Nouvelle,"Bordeaux, France",€€€€,Modern Cuisine
870,1 Star,Don Juan II,"Paris, France",€€€€,Creative
871,1 Star,Le Refuge des Gourmets,"Machilly, France",€€€,Modern Cuisine
872,1 Star,Ceto,"Roquebrune-Cap-Martin, France",€€€€,Seafood
873,1 Star,Récif,"Saint-Raphaël, France",€€€€,Modern Cuisine
874,1 Star,La Table - Christophe Hay et Loïs Bée,"Ardon, France",€€€€,Modern Cuisine
875,1 Star,Gaya par Pierre Gagnaire,"Paris, France",€€€,Modern Cuisine
876,1 Star,NESO,"Paris, France",€€€€,Creative
877,1 Star,La Cachette,"Valence, France",€€€,Creative
878,1 Star,Chakaiseki Akiyoshi,"Paris, France",€€€€,Japanese
879,1 Star,La Tête en l'air,"Vannes, France",€€€,Creative
880,1 Star,Pollen,"Avignon, France",€€€€,Modern Cuisine
881,1 Star,La Table de l'Orangerie - Château de Fonscolombe,"Le Puy-Sainte-Réparade, France",€€€€,Modern Cuisine
882,1 Star,Vincent Favre Félix,"Annecy, France",€€€€,Creative
883,1 Star,Le Vieux Logis,"Trémolat, France",€€€€,Modern Cuisine
884,1 Star,L'Orchidée,"Altkirch, France",€€€,Thai
885,1 Star,Likoké,"Les Vans, France",€€€€,Creative
886,1 Star,Oxte,"Paris, France",€€€€,Mexican
887,1 Star,Manoir de Lan-Kerellec,"Trébeurden, France",€€€€,Seafood
888,1 Star,Fleur de Pavé,"Paris, France",€€€,Creative
889,1 Star,L'Ours,"Vincennes, France",€€€€,Modern Cuisine
890,1 Star,Kasbür,"Monswiller, France",€€€,Modern Cuisine
891,1 Star,Rustique,"Lyon, France",€€€€,Creative
892,1 Star,Lasserre,"Paris, France",€€€€,Classic Cuisine
893,1 Star,Auberge du Vert Mont,"Boeschepe, France",€€,Creative
894,1 Star,Shabour,"Paris, France",€€€€,Creative
895,1 Star,La Huchette,"Replonges, France",€€€,Modern Cuisine
896,1 Star,Choko Ona,"Espelette, France",€€€,Modern Cuisine
897,1 Star,En Marge,"Aureville, France",€€€€,Modern Cuisine
898,1 Star,Origines,"Le Broc, France",€€€€,Creative
899,1 Star,L'Essentiel,"Périgueux, France",€€€,Modern Cuisine
900,1 Star,Gordon Ramsay au Trianon,"Versailles, France",€€€€,Creative
901,1 Star,Quai des Saveurs,"Hagondange, France",€€€,Modern Cuisine
902,1 Star,Anona,"Paris, France",€€€€,Modern Cuisine
903,1 Star,Maison Hache,"Eygalières, France",€€€€,Provençal
904,1 Star,L'Aromate,"Nice, France",€€€€,Modern Cuisine
905,1 Star,JAN,"Nice, France",€€€€,Creative
906,1 Star,L'Atlantide 1874 - Maison Guého,"Nantes, France",€€€€,Modern Cuisine
907,1 Star,Le Manoir de la Régate,"Nantes, France",€€€€,Modern Cuisine
908,1 Star,Restaurant De Lauzun,"Pézenas, France",€€€€,Modern Cuisine
909,1 Star,Jérôme Nutile,"Nîmes, France",€€€€,Modern Cuisine
910,1 Star,Le Chantecler,"Nice, France",€€€€,Modern Cuisine
911,1 Star,Auberge Grand'Maison,"Mûr-de-Bretagne, France",€€€,Traditional Cuisine
912,1 Star,Moulin de la Tardoire,"Montbron, France",€€€,Modern Cuisine
913,1 Star,La Réserve Rimbaud,"Montpellier, France",€€€€,Modern Cuisine
914,1 Star,L'Écrin de Yohann Chapuis,"Tournus, France",€€€€,Creative
915,1 Star,"Une Table, au Sud","Marseille, France",€€€€,Modern Cuisine
916,1 Star,Saisons,"Marseille, France",€€€,Modern Cuisine
917,1 Star,Auberge de la Tour,"Marcolès, France",€€€€,Modern Cuisine
918,1 Star,Le Carmin,"Beaune, France",€€€€,Modern Cuisine
919,1 Star,Couleurs de Shimatani,"La Ciotat, France",€€€€,Fusion
920,1 Star,Haut Bonheur de la Table,"Cassel, France",€€,Modern Cuisine
921,1 Star,Le Pot d'Étain,"Danjoutin, France",€€€,Modern Cuisine
922,1 Star,AinTimiste,"Poncin, France",€€€,Modern Cuisine
923,1 Star,Le Restaurant des Rois - La Réserve de Beaulieu,"Beaulieu-sur-Mer, France",€€€€,Modern Cuisine
924,1 Star,Ekaitza,"Ciboure, France",€€€,Modern Cuisine
925,1 Star,Vieux Pont,"Belcastel, France",€€€€,Modern Cuisine
926,1 Star,Ochre,"Rueil-Malmaison, France",€€€€,Modern Cuisine
927,1 Star,L'Empreinte,"Buxy, France",€€€,Modern Cuisine
928,1 Star,Dan B.,"Ventabren, France",€€€€,Modern Cuisine
929,1 Star,Frédéric Molina au Moulin de Léré,"Vailly, France",€€€€,Modern Cuisine
930,1 Star,Auberge du Pont,"Pont-du-Château, France",€€€,Modern Cuisine
931,1 Star,Trente-Trois,"Paris, France",€€€€,Modern Cuisine
932,1 Star,Divellec,"Paris, France",€€€€,Seafood
933,1 Star,Villa de l'Étang Blanc,"Seignosse, France",€€€,Modern Cuisine
934,1 Star,La Table d'Uzès,"Uzès, France",€€€€,Modern Cuisine
935,1 Star,Avel Vor,"Port-Louis, France",€€€,Modern Cuisine
936,1 Star,Miraflores,"Lyon, France",€€€€,Peruvian
937,1 Star,Akrame,"Paris, France",€€€€,Creative
938,1 Star,La Chapelle - Château Saint-Jean,"Montluçon, France",€€€€,Modern Cuisine
939,1 Star,Allium,"Quimper, France",€€€,Creative
940,1 Star,La Table de La Butte,"Plouider, France",€€€€,Modern Cuisine
941,1 Star,L'Arbre au Soleil,"Le Lavandou, France",€€€,Modern Cuisine
942,1 Star,Tomy & Co,"Paris, France",€€€,Modern Cuisine
943,1 Star,Les Sources de Fontbelle,"Angoulême, France",€€€€,Creative
944,1 Star,Solstice,"Paris, France",€€€€,Modern Cuisine
945,1 Star,Signature,"Marseille, France",€€€€,Modern Cuisine
946,1 Star,Rozó,"Marcq-en-Barœul, France",€€€€,Modern Cuisine
947,1 Star,Skab,"Nîmes, France",€€€€,Modern Cuisine
948,1 Star,Hedone,"Toulouse, France",€€€€,Creative
949,1 Star,Le Royal,"Champillon, France",€€€€,Creative
950,1 Star,Aux Terrasses,"Tournus, France",€€€,Modern Cuisine
951,1 Star,Ar Men Du,"Névez, France",€€€,Modern Cuisine
952,1 Star,La Bastide de Moustiers,"Moustiers-Sainte-Marie, France",€€€,Provençal
953,1 Star,La Robe,"Montaigu, France",€€€,Modern Cuisine
954,1 Star,Les Clefs d'Argent,"Mont-de-Marsan, France",€€€,Creative
955,1 Star,Domaine du Colombier,"Malataverne, France",€€€€,Creative
956,1 Star,Pastis Restaurant,"Montpellier, France",€€€,Modern Cuisine
957,1 Star,Omar Dhiab,"Paris, France",€€€€,Modern Cuisine
958,1 Star,Arborescence,"Croix, France",€€€,Creative
959,1 Star,Ambroisie,"Saint-Didier-de-la-Tour, France",€€€€,Modern Cuisine
960,1 Star,L'Épuisette,"Marseille, France",€€€€,Seafood
961,1 Star,L'Ekrin by Laurent Azoulay,"Méribel, France",€€€€,Modern Cuisine
962,1 Star,Les Trois Rochers,"Combrit, France",€€€,Modern Cuisine
963,1 Star,Le Charlemagne,"Pernand-Vergelesses, France",€€€€,Creative
964,1 Star,Le Pavillon des Boulevards,"Bordeaux, France",€€€€,Modern Cuisine
965,1 Star,Le Art,"Aix-en-Provence, France",€€€€,Modern Cuisine
966,1 Star,La Nouvelle Auberge,"Wihr-au-Val, France",€€€,Modern Cuisine
967,1 Star,Auberge Saint-Walfrid,"Sarreguemines, France",€€€€,Classic Cuisine
968,1 Star,La Table de l'Ours,"Val-d'Isère, France",€€€€,Modern Cuisine
969,1 Star,La Maison de Pierre,"Hasparren, France",€€€,Modern Cuisine
970,1 Star,L'Évidence,"Montbazon, France",€€€,Creative
971,1 Star,Les Explorateurs - Hôtel Pashmina,"Val-Thorens, France",€€€€,Modern Cuisine
972,1 Star,Michel Trama,"Puymirol, France",€€€€,Creative
973,1 Star,La Magdeleine - Mathias Dandine,"Gémenos, France",€€€€,Mediterranean Cuisine
974,1 Star,Villa Salone,"Salon-de-Provence, France",€€€,Modern Cuisine
975,1 Star,Aida,"Paris, France",€€€€,Japanese
976,1 Star,Thierry Schwartz - Le Restaurant,"Obernai, France",€€€€,Creative
977,1 Star,Colette,"Saint-Tropez, France",€€€€,Modern Cuisine
978,1 Star,MoSuke,"Paris, France",€€€€,Modern Cuisine
979,1 Star,Maison Caillet,"Valmont, France",€€€€,Creative
980,1 Star,L'Éveil des Sens,"Mayenne, France",€€€,Modern Cuisine
981,1 Star,Les Hauts de Loire,"Onzain, France",€€€€,Classic Cuisine
982,1 Star,L'Aspérule,"Dijon, France",€€€,Modern Cuisine
983,1 Star,Maison Chenet - Entre Vigne et Garrigue,"Pujaut, France",€€€€,Modern Cuisine
984,1 Star,La Promenade,"Le Petit-Pressigny, France",€€€,Modern Cuisine
985,1 Star,Le Faham by Kelly Rangama,"Paris, France",€€€,Modern Cuisine
986,1 Star,La Table de l'Alpaga,"Megève, France",€€€€,Modern Cuisine
987,1 Star,Jean-Luc Tartarin,"Le Havre, France",€€€€,Creative
988,1 Star,Burgundy by Matthieu,"Lyon, France",€€€,Modern Cuisine
989,1 Star,Pavyllon,"Paris, France",€€€€,Modern Cuisine
990,1 Star,Holen,"Rennes, France",€€€,Creative
991,1 Star,Le Restaurant du Cerisier,"Lille, France",€€€€,Creative
992,1 Star,L'Arrivage,"Sète, France",€€€€,Modern Cuisine
993,1 Star,Reflet d'Obione,"Montpellier, France",€€€,Modern Cuisine
994,1 Star,Mont Blanc Restaurant & Goûter,"Hauteluce, France",€€€,Modern Cuisine
995,1 Star,LuluRouget,"Nantes, France",€€€€,Modern Cuisine
996,1 Star,Faventia,"Tourrettes, France",€€€€,Modern Cuisine
997,1 Star,La Maison dans le Parc,"Nancy, France",€€€,Modern Cuisine
998,1 Star,Äponem - Auberge du Presbytère,"Vailhan, France",€€€€,Modern Cuisine
999,1 Star,Leclère,"Montpellier, France",€€€,Modern Cuisine
1000,1 Star,Les Fresques - Château des Vigiers,"Monestier, France",€€€,Modern Cuisine
1001,1 Star,Le 7ème Continent,"Rixheim, France",€€€€,Modern Cuisine
1002,1 Star,La Galinette,"Perpignan, France",€€€,Creative
1003,1 Star,Le Cerf,"Marlenheim, France",€€€€,Modern Cuisine
1004,1 Star,Au Crocodile,"Strasbourg, France",€€€€,Modern Cuisine
1005,1 Star,1741,"Strasbourg, France",€€€€,Modern Cuisine
1006,1 Star,La Sommelière,"Lyon, France",€€€,Modern Cuisine
1007,1 Star,L'Aparté,"Montrabé, France",€€€,Modern Cuisine
1008,1 Star,OKA,"Paris, France",€€€€,Creative
1009,1 Star,Le Cap,"Saint-Jean-Cap-Ferrat, France",€€€€,Creative
1010,1 Star,Sola,"Paris, France",€€€€,Modern Cuisine
1011,1 Star,Auberge au Bœuf,"Sessenheim, France",€€€€,Modern Cuisine
1012,1 Star,Louis,"Paris, France",€€€€,Modern Cuisine
1013,1 Star,Quinsou,"Paris, France",€€€€,Creative
1014,1 Star,Pertinence,"Paris, France",€€€€,Modern Cuisine
1015,1 Star,Auguste,"Paris, France",€€€€,Modern Cuisine
1016,1 Star,Frenchie,"Paris, France",€€€€,Modern Cuisine
1017,1 Star,Le Champ des Lunes,"Lauris, France",€€€€,Modern Cuisine
1018,1 Star,Benoit,"Paris, France",€€€,Classic Cuisine
1019,1 Star,Mavrommatis,"Paris, France",€€€€,Greek
1020,1 Star,Yam'Tcha,"Paris, France",€€€€,Creative
1021,1 Star,La Dame de Pic,"Paris, France",€€€€,Creative
1022,1 Star,L'Anthocyane,"Lannion, France",€€€,Modern Cuisine
1023,1 Star,En Pleine Nature,"Quint-Fonsegrives, France",€€€,Modern Cuisine
1024,1 Star,Alliance,"Paris, France",€€€€,Modern Cuisine
1025,1 Star,Auberge St-Laurent,"Sierentz, France",€€€,Modern Cuisine
1026,1 Star,L'Atelier de Joël Robuchon - Étoile,"Paris, France",€€€€,Creative
1027,1 Star,"114, Faubourg","Paris, France",€€€€,Modern Cuisine
1028,1 Star,L'Écrin,"Paris, France",€€€€,Creative
1029,1 Star,Tour d'Argent,"Paris, France",€€€€,Modern Cuisine
1030,1 Star,La Ribaudière,"Bourg-Charente, France",€€€,Modern Cuisine
1031,1 Star,La Table de Chaintré,"Chaintré, France",€€€,Modern Cuisine
1032,1 Star,La Table de Xavier Mathieu,"Joucas, France",€€€€,Mediterranean Cuisine
1033,1 Star,L'Atelier du Peintre,"Colmar, France",€€€,Creative
1034,1 Star,Le Carré d'Alethius,"Charmes-sur-Rhône, France",€€€,Modern Cuisine
1035,1 Star,Apicius,"Clermont-Ferrand, France",€€€€,Modern Cuisine
1036,1 Star,Chez Michèle,"Languimberg, France",€€€,Modern Cuisine
1037,1 Star,Le Vivier,"L'Isle-sur-la-Sorgue, France",€€€,Modern Cuisine
1038,1 Star,Auberge de la Forge,"Lavalette, France",€€€,Modern Cuisine
1039,1 Star,Château Blanchard,"Chazelles-sur-Lyon, France",€€€€,Modern Cuisine
1040,1 Star,Frédéric Doucet,"Charolles, France",€€€€,Modern Cuisine
1041,1 Star,Restaurant Girardin,"Colmar, France",€€€€,Creative
1042,1 Star,Auberge du Cheval Blanc,"Lembach, France",€€€€,Modern Cuisine
1043,1 Star,Auberge Pom'Poire,"Azay-le-Rideau, France",€€€,Modern Cuisine
1044,1 Star,Le Gavrinis,"Baden, France",€€€,Modern Cuisine
1045,1 Star,Tentazioni,"Bordeaux, France",€€€€,Italian
1046,1 Star,L'Impertinent,"Biarritz, France",€€€,Creative
1047,1 Star,Les Rosiers,"Biarritz, France",€€€,Modern Cuisine
1048,1 Star,Auberge des Templiers,"Boismorand, France",€€€€,Modern Cuisine
1049,1 Star,Auberge du XIIème Siècle,"Saché, France",€€€,Modern Cuisine
1050,1 Star,Maison Medard,"Boulleret, France",€€€,Modern Cuisine
1051,1 Star,Le Fantin Latour - Stéphane Froidevaux,"Grenoble, France",€€€€,Creative
1052,1 Star,Stéphane Tournié - Les Jardins de l'Opéra,"Toulouse, France",€€€,Modern Cuisine
1053,1 Star,Pur' - Jean-François Rouquette,"Paris, France",€€€€,Modern Cuisine
1054,1 Star,Septime,"Paris, France",€€€€,Modern Cuisine
1055,1 Star,Michel Sarran,"Toulouse, France",€€€€,Creative
1056,1 Star,Le Jardin Secret,"La Wantzenau, France",€€€,Modern Cuisine
1057,1 Star,Qui Plume la Lune,"Paris, France",€€€€,Modern Cuisine
1058,1 Star,AT,"Paris, France",€€€€,Creative
1059,1 Star,Comice,"Paris, France",€€€€,Modern Cuisine
1060,1 Star,Espadon,"Paris, France",€€€€,Creative
1061,1 Star,Briketenia,"Guéthary, France",€€€,Modern Cuisine
1062,1 Star,Accents Table Bourse,"Paris, France",€€€€,Modern Cuisine
1063,1 Star,Clos du Cèdre,"Beaune, France",€€€€,Modern Cuisine
1064,1 Star,Le Sergent Recruteur,"Paris, France",€€€€,Modern Cuisine
1065,1 Star,Umami,"Strasbourg, France",€€€,Modern Cuisine
1066,1 Star,Le K,"Montenach, France",€€€€,Modern Cuisine
1067,1 Star,Lucas Carton,"Paris, France",€€€€,Modern Cuisine
1068,1 Star,ES,"Paris, France",€€€€,Modern Cuisine
1069,1 Star,Helen,"Paris, France",€€€€,Seafood
1070,1 Star,Le George,"Paris, France",€€€€,Italian
1071,1 Star,Restaurant H,"Paris, France",€€€,Creative
1072,1 Star,L'Arôme,"Paris, France",€€€€,Modern Cuisine
1073,1 Star,Château de la Treyne,"Lacave, France",€€€€,Classic Cuisine
1074,1 Star,Jérôme Feck,"Châlons-en-Champagne, France",€€€,Modern Cuisine
1075,1 Star,L'Orée de la Forêt,"Étouy, France",€€€€,Modern Cuisine
1076,1 Star,La Vieille Fontaine,"Avignon, France",€€€€,Modern Cuisine
1077,1 Star,Radio,"Chamalières, France",€€€€,Modern Cuisine
1078,1 Star,Le Pily,"Cherbourg-en-Cotentin, France",€€€,Creative
1079,1 Star,Auberge Frankenbourg,"La Vancelle, France",€€€,Modern Cuisine
1080,1 Star,La Chapelle Saint-Martin,"Nieul, France",€€€€,Modern Cuisine
1081,1 Star,La Vieille Tour,"Cellettes, France",€€€,Modern Cuisine
1082,1 Star,La Table du Boisniard,"Chambretaud, France",€€€,Creative
1083,1 Star,Bruno,"Lorgues, France",€€€€,Classic Cuisine
1084,1 Star,Le Pont de l'Ouysse,"Lacave, France",€€€,Modern Cuisine
1085,1 Star,Jean-Claude Leclerc,"Clermont-Ferrand, France",€€€€,Modern Cuisine
1086,1 Star,L'Ostal,"Clermont-Ferrand, France",€€€€,Modern Cuisine
1087,1 Star,La Tour des Vents,"Monbazillac, France",€€€,Modern Cuisine
1088,1 Star,Guy Lassausaie,"Chasselay, France",€€€,Modern Cuisine
1089,1 Star,Moulin d'Alotz,"Arcangues, France",€€€,Creative
1090,1 Star,La Mirande,"Avignon, France",€€€€,Modern Cuisine
1091,1 Star,L'Auberge de Lucinges,"Lucinges, France",€€€,Modern Cuisine
1092,1 Star,Les Reflets,"La Roche-sur-Yon, France",€€€,Modern Cuisine
1093,1 Star,Le Kléber - La Maison Bonnet,"Grane, France",€€€,Modern Cuisine
1094,1 Star,Hostellerie de Levernois,"Levernois, France",€€€€,Modern Cuisine
1095,1 Star,La Grange de Belle-Église,"Belle-Église, France",€€€,Classic Cuisine
1096,1 Star,La Mère Germaine,"Châteauneuf-du-Pape, France",€€€€,Modern Cuisine
1097,1 Star,Neige d'Été,"Paris, France",€€€€,Creative
1098,1 Star,La Dame de Pic - Le 1920,"Megève, France",€€€€,Creative
1099,1 Star,Le Pavillon - Hôtel Westminster,"Le Touquet-Paris-Plage, France",€€€€,Creative
1100,1 Star,Ze Kitchen Galerie,"Paris, France",€€€€,Creative
1101,1 Star,Ursus,"Tignes, France",€€€€,Creative
1102,1 Star,Pure & V,"Nice, France",€€€€,Modern Cuisine
1103,1 Star,Relais Louis XIII,"Paris, France",€€€€,Classic Cuisine
1104,1 Star,Yoshinori,"Paris, France",€€€€,Modern Cuisine
1105,1 Star,L'Or Bleu,"Théoule-sur-Mer, France",€€€€,Modern Cuisine
1106,1 Star,Armani Ristorante,"Paris, France",€€€€,Italian
1107,1 Star,La Table - Hôtel Clarance,"Lille, France",€€€,Modern Cuisine
1108,1 Star,Alan Geaam,"Paris, France",€€€€,Creative
1109,1 Star,Le Grand Cap,"Leucate, France",€€€,Modern Cuisine
1110,1 Star,La Grande Cascade,"Paris, France",€€€€,Classic Cuisine
1111,1 Star,Le Violon d'Ingres,"Paris, France",€€€€,Traditional Cuisine
1112,1 Star,Le Chiberta,"Paris, France",€€€€,Modern Cuisine
1113,1 Star,Nomicos,"Paris, France",€€€€,Modern Cuisine
1114,1 Star,Sushi B,"Paris, France",€€€€,Japanese
1115,1 Star,Le Baudelaire,"Paris, France",€€€€,Creative
1116,1 Star,Alchémille,"Kaysersberg, France",€€€€,Creative
1117,1 Star,La Table de Nans,"La Ciotat, France",€€€€,Mediterranean Cuisine
1118,1 Star,Hostellerie de la Pointe Saint-Mathieu,"Plougonvelin, France",€€€,Modern Cuisine
1119,1 Star,Le Patio,"Arcachon, France",€€€,Modern Cuisine
1120,1 Star,L'Atelier Yssoirien,"Issoire, France",€€€,Creative
1121,1 Star,Au 14 Février,"Saint-Valentin, France",€€€€,Modern Cuisine
1122,1 Star,La Passagère - Hôtel Belles Rives,"Juan-les-Pins, France",€€€€,Creative
1123,1 Star,Alain Llorca,"La Colle-sur-Loup, France",€€€€,Provençal
1124,1 Star,Ed.Em,"Chassagne-Montrachet, France",€€€€,Modern Cuisine
1125,1 Star,Le Jardin de Berne,"Flayosc, France",€€€€,Modern Cuisine
1126,1 Star,G.a. au Manoir de Rétival,"Caudebec-en-Caux, France",€€€€,Modern Cuisine
1127,1 Star,La Bonne Étape,"Château-Arnoux-Saint-Auban, France",€€€€,Provençal
1128,1 Star,Le Valucien - Château de Vault-de-Lugny,"Vault-de-Lugny, France",€€€€,Modern Cuisine
1129,1 Star,Hostellerie la Montagne,"Colombey-les-Deux-Églises, France",€€€,Modern Cuisine
1130,1 Star,Le Saint-James,"Bouliac, France",€€€€,Modern Cuisine
1131,1 Star,La Balette,"Collioure, France",€€€€,Creative
1132,1 Star,Granit - La Mécanique des Frères Bonano,"Colombières-sur-Orb, France",€€€€,Modern Cuisine
1133,1 Star,Les Terraillers,"Biot, France",€€€€,Creative
1134,1 Star,Le Mascaret,"Blainville-sur-Mer, France",€€€,Modern Cuisine
1135,1 Star,Le Cèdre de Montcaud,"Sabran, France",€€€€,Modern Cuisine
1136,1 Star,Villa Pinewood,"Payrin-Augmontel, France",€€€€,Creative
1137,1 Star,Racines - Bruno Cirino,"Nice, France",€€€,Vegetarian
1138,1 Star,La Table d'Asten,"Binic, France",€€€,Modern Cuisine
1139,1 Star,L'Abissiou,"Les Sables-d'Olonne, France",€€€€,Modern Cuisine
1140,1 Star,La Table de L'Incomparable,"Tresserve, France",€€€€,Modern Cuisine
1141,1 Star,"Pavyllon, un restaurant de Yannick Alléno, Monte-Carlo","Monaco, France",€€€€,Modern Cuisine
