,Distinction,Name,Location,Price,Cuisine
0,2 Star,Sushi Masaki Saito,"Toronto, Canada",$$$$,Japanese
1,2 Star,Xin Rong Ji,"Chengdu, China Mainland",¥¥¥¥,Taizhou
2,2 Star,Yu Zhi Lan,"Chengdu, China Mainland",¥¥¥¥,Sichuan
3,2 Star,Molino de Urdániz,"Taipei, Taiwan",$$$$,Spanish Contemporary
4,2 Star,RAW,"Taipei, Taiwan",$$$$,Innovative
5,2 Star,logy,"Taipei, Taiwan",$$$,Asian Contemporary
6,2 Star,Mudan,"Taipei, Taiwan",$$$$,Tempura
7,2 Star,L'Atelier de Joël Robuchon,"Taipei, Taiwan",$$$$,French Contemporary
8,2 Star,Sons & Daughters,"San Francisco, USA",$$$$,Contemporary
9,2 Star,Hayato,"Los Angeles, USA",$$$$,Japanese
10,2 Star,Birdsong,"San Francisco, USA",$$$$,Contemporary
11,2 Star,Vespertine,"Culver City, USA",$$$$,Contemporary
12,2 Star,Providence,"Hollywood, USA",$$$$,Seafood
13,2 Star,Aubergine,"Carmel-by-the-Sea, USA",$$$$,Contemporary
14,2 Star,Commis,"Oakland, USA",$$$$,Contemporary
15,2 Star,Acquerello,"San Francisco, USA",$$$$,Italian
16,2 Star,Mélisse,"Santa Monica, USA",$$$$,Modern French
17,2 Star,Lazy Bear,"San Francisco, USA",$$$$,Contemporary
18,2 Star,Californios,"San Francisco, USA",$$$$,Mexican
19,2 Star,Saison,"San Francisco, USA",$$$$,Californian
20,2 Star,Harbor House,"Elk, USA",$$$$,Californian
21,2 Star,Trèsind Studio,Dubai,$$$$,Indian
22,2 Star,STAY by Yannick Alléno,Dubai,$$$$,French
23,2 Star,Il Ristorante-Niko Romito,Dubai,$$$$,Italian
24,2 Star,Row on 45,Dubai,$$$$,Creative
25,2 Star,Agli Amici Rovinj,"Rovinj, Croatia",€€€€,Italian Contemporary
26,2 Star,Meta,Singapore,$$$,Innovative
27,2 Star,Jaan by Kirk Westaway,Singapore,$$$,British Contemporary
28,2 Star,Saint Pierre,Singapore,$$$$,French Contemporary
29,2 Star,Shoukouwa,Singapore,$$$$,Sushi
30,2 Star,Cloudstreet,Singapore,$$$$,Innovative
31,2 Star,Thevar,Singapore,$$$$,Innovative
32,2 Star,Bottiglieria 1881,"Krakow, Poland",€€€€,Creative
33,2 Star,Milka,"Kranjska Gora, Slovenia",€€€€,Creative
34,2 Star,Taian Table,"Guangzhou, China Mainland",¥¥¥¥,European Contemporary
35,2 Star,Jiang by Chef Fei,"Guangzhou, China Mainland",¥¥¥,Cantonese
36,2 Star,Imperial Treasure Fine Chinese Cuisine,"Guangzhou, China Mainland",¥¥¥,Cantonese
37,2 Star,Frederikshøj,"Aarhus, Denmark",€€€€,Creative
38,2 Star,Kadeau Copenhagen,"Copenhagen, Denmark",€€€€,Creative
39,2 Star,AIRA,"Stockholm, Sweden",€€€€,Modern Cuisine
40,2 Star,Kong Hans Kælder,"Copenhagen, Denmark",€€€€,Modern French
41,2 Star,Vollmers,"Malmo, Sweden",€€€€,Contemporary
42,2 Star,Kontrast,"Oslo, Norway",€€€€,Scandinavian
43,2 Star,Palace,"Helsinki, Finland",€€€€,Modern Cuisine
44,2 Star,Henne Kirkeby Kro,"Henne, Denmark",€€€€,Classic Cuisine
45,2 Star,Koan,"Copenhagen, Denmark",€€€€,Creative
46,2 Star,Aloë,"Stockholm, Sweden",€€€€,Creative
47,2 Star,Alchemist,"Copenhagen, Denmark",€€€€,Innovative
48,2 Star,a|o|c,"Copenhagen, Denmark",€€€€,Modern Cuisine
49,2 Star,VYN,"Simrishamn, Sweden",€€€€,Creative
50,2 Star,180° by Matthias Diether,"Tallinn, Estonia",€€€€,Creative
51,2 Star,Oro,"Rio de Janeiro, Brazil",$$$$,Creative
52,2 Star,D.O.M.,"São Paulo, Brazil",$$$$,Creative
53,2 Star,Evvai,"São Paulo, Brazil",$$$$,Modern Cuisine
54,2 Star,Tuju,"São Paulo, Brazil",$$$$,Creative
